subregions,years,animal_price,year_id,subregion_id
Western Europe,1969-1975,43.95,1,4
Western Europe,1969-1975,2.07,1,4
Western Europe,1969-1975,34.52,1,4
Western Europe,1969-1975,86.23,1,4
Western Europe,1969-1975,54.99,1,4
Western Europe,1969-1975,84.26,1,4
Western Europe,1969-1975,38.36,1,4
Western Europe,1969-1975,21.97,1,4
Western Europe,1969-1975,49.15,1,4
Western Europe,1969-1975,30.38,1,4
Western Europe,1969-1975,4.66,1,4
Western Europe,1969-1975,36.7,1,4
Western Europe,1969-1975,32.51,1,4
Western Europe,1969-1975,47.62,1,4
Western Europe,1969-1975,28.03,1,4
Western Europe,1969-1975,4.71,1,4
Western Europe,1969-1975,25.02,1,4
Western Europe,1969-1975,114.8,1,4
Western Europe,1969-1975,64.77,1,4
Western Europe,1969-1975,33.53,1,4
Western Europe,1969-1975,65.91,1,4
Western Europe,1969-1975,20.45,1,4
Western Europe,1969-1975,178.3,1,4
Western Europe,1969-1975,55.37,1,4
Western Europe,1969-1975,21.59,1,4
Western Europe,1969-1975,71.07,1,4
Western Europe,1969-1975,46.32,1,4
Western Europe,1969-1975,56.04,1,4
Western Europe,1969-1975,57.99,1,4
Western Europe,1969-1975,31.22,1,4
Western Europe,1969-1975,22.69,1,4
Western Europe,1969-1975,1.91,1,4
Western Europe,1969-1975,4.77,1,4
Western Europe,1969-1975,73.39,1,4
Western Europe,1969-1975,35.12,1,4
Western Europe,1969-1975,21.05,1,4
Western Europe,1969-1975,122.32,1,4
Western Europe,1969-1975,4.87,1,4
Western Europe,1969-1975,25.38,1,4
Western Europe,1969-1975,37.86,1,4
Western Europe,1969-1975,73.26,1,4
Western Europe,1969-1975,37.04,1,4
Western Europe,1969-1975,31.57,1,4
Western Europe,1969-1975,50.71,1,4
Western Europe,1969-1975,28.77,1,4
Western Europe,1969-1975,87.83,1,4
Western Europe,1969-1975,22.14,1,4
Western Europe,1969-1975,51.66,1,4
Western Europe,1969-1975,187.92,1,4
Western Europe,1969-1975,39.57,1,4
Western Europe,1969-1975,57.39,1,4
Northern Europe,1969-1975,39.25,1,2
Northern Europe,1969-1975,86.49,1,2
Western Europe,1969-1975,65.45,1,4
Western Europe,1969-1975,10.53,1,4
Northern Europe,1969-1975,58.52,1,2
,1969-1975,10.44,1,5
Southern Europe,1969-1975,524.52,1,1
Western Europe,1969-1975,121.51,1,4
Western Europe,1969-1975,117.29,1,4
,1969-1975,191.11,1,5
Western Europe,1969-1975,109.14,1,4
Western Europe,1969-1975,71.55,1,4
,1969-1975,95.97,1,5
Western Europe,1969-1975,75.08,1,4
Western Europe,1969-1975,104.14,1,4
,1969-1975,98.7,1,5
Western Europe,1969-1975,68.57,1,4
,1969-1975,39.43,1,5
Western Europe,1969-1975,8.87,1,4
,1969-1975,88.31,1,5
,1969-1975,41.28,1,5
Southern Europe,1969-1975,76.47,1,1
,1969-1975,118.93,1,5
Southern Europe,1969-1975,88.96,1,1
Western Europe,1969-1975,49.25,1,4
Western Europe,1969-1975,90.26,1,4
,1969-1975,73.47,1,5
,1969-1975,59.41,1,5
Western Europe,1969-1975,63.77,1,4
Southern Europe,1969-1975,110.09,1,1
Northern Europe,1969-1975,9.17,1,2
Western Europe,1969-1975,57.68,1,4
Western Europe,1969-1975,52.31,1,4
Northern Europe,1969-1975,88.45,1,2
Southern Europe,1969-1975,78.76,1,1
Western Europe,1969-1975,46.3,1,4
Western Europe,1969-1975,75.88,1,4
Western Europe,1969-1975,244.67,1,4
Southern Europe,1969-1975,205.11,1,1
Western Europe,1969-1975,70.56,1,4
Northern Europe,1969-1975,32.38,1,2
Western Europe,1969-1975,285.51,1,4
Western Europe,1969-1975,10.34,1,4
Northern Europe,1969-1975,25.57,1,2
Southern Europe,1969-1975,56.26,1,1
,1969-1975,121.94,1,5
Northern Europe,1969-1975,42.44,1,2
,1969-1975,52.93,1,5
Western Europe,1969-1975,10.4,1,4
Northern Europe,1969-1975,8.26,1,2
Northern Europe,1969-1975,137.99,1,2
Southern Europe,1969-1975,110.82,1,1
Northern Europe,1969-1975,43.34,1,2
Western Europe,1969-1975,47.26,1,4
Western Europe,1969-1975,58.92,1,4
Western Europe,1969-1975,47.18,1,4
Western Europe,1969-1975,367.83,1,4
Southern Europe,1969-1975,113.53,1,1
Western Europe,1969-1975,115.21,1,4
Western Europe,1969-1975,63.31,1,4
,1969-1975,57.96,1,5
Western Europe,1969-1975,107.69,1,4
Western Europe,1969-1975,68.77,1,4
Western Europe,1969-1975,119.02,1,4
Western Europe,1969-1975,42.52,1,4
Western Europe,1969-1975,124.39,1,4
Western Europe,1969-1975,9.4,1,4
Western Europe,1969-1975,155.53,1,4
Northern Europe,1969-1975,130.57,1,2
